GO Term	Description	P-value	FDR q-value	Enrichment	N	B	n	b	Genes
GO:0002376	immune system process	5.6E-6	2.97E-3	2.20	17535	2127	161	43	[ITK  -  il2-inducible t-cell kinase, ADAM17  -  adam metallopeptidase domain 17, QPCT  -  glutaminyl-peptide cyclotransferase, LILRB2  -  leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 2, PLCG2  -  phospholipase c, gamma 2 (phosphatidylinositol-specific), LIME1  -  lck interacting transmembrane adaptor 1, TREM2  -  triggering receptor expressed on myeloid cells 2, TREML4  -  triggering receptor expressed on myeloid cells-like 4, LILRA5  -  leukocyte immunoglobulin-like receptor, subfamily a (with tm domain), member 5, ACE  -  angiotensin i converting enzyme, LILRA6  -  leukocyte immunoglobulin-like receptor, subfamily a (with tm domain), member 6, FCER1G  -  fc fragment of ige, high affinity i, receptor for; gamma polypeptide, CD33  -  cd33 molecule, LILRB5  -  leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 5, CNN2  -  calponin 2, RHOH  -  ras homolog family member h, PLEKHA1  -  pleckstrin homology domain containing, family a (phosphoinositide binding specific) member 1, SCIMP  -  slp adaptor and csk interacting membrane protein, ADAM10  -  adam metallopeptidase domain 10, EXOSC4  -  exosome component 4, RBCK1  -  ranbp-type and c3hc4-type zinc finger containing 1, NCK2  -  nck adaptor protein 2, GRN  -  granulin, BLNK  -  b-cell linker, TNIP1  -  tnfaip3 interacting protein 1, CLU  -  clusterin, HLA-DQA1  -  major histocompatibility complex, class ii, dq alpha 1, CTSB  -  cathepsin b, HMHA1  -  histocompatibility (minor) ha-1, CTSH  -  cathepsin h, HLA-DRB1  -  major histocompatibility complex, class ii, dr beta 1, TSPAN14  -  tetraspanin 14, SIGLEC16  -  sialic acid binding ig-like lectin 16 (gene/pseudogene), APP  -  amyloid beta (a4) precursor protein, SPI1  -  spleen focus forming virus (sffv) proviral integration oncogene, LILRB3  -  leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 3, HAVCR2  -  hepatitis a virus cellular receptor 2, TREML1  -  triggering receptor expressed on myeloid cells-like 1, PPIB  -  peptidylprolyl isomerase b (cyclophilin b), TREML2  -  triggering receptor expressed on myeloid cells-like 2, PHB  -  prohibitin, IL4I1  -  interleukin 4 induced 1, LILRA4  -  leukocyte immunoglobulin-like receptor, subfamily a (with tm domain), member 4]
GO:1902430	negative regulation of amyloid-beta formation	5.78E-6	2.96E-3	153.82	17535	18	19	3	[CLU  -  clusterin, APOE  -  apolipoprotein e, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7]
GO:0002253	activation of immune response	6.38E-6	3.16E-3	2.79	17535	479	381	29	[ITK  -  il2-inducible t-cell kinase, CD46  -  cd46 molecule, complement regulatory protein, PLCG2  -  phospholipase c, gamma 2 (phosphatidylinositol-specific), INPP5D  -  inositol polyphosphate-5-phosphatase, 145kda, LIME1  -  lck interacting transmembrane adaptor 1, PLD2  -  phospholipase d2, ZCCHC3  -  zinc finger, cchc domain containing 3, FCER1G  -  fc fragment of ige, high affinity i, receptor for; gamma polypeptide, PYCARD  -  pyd and card domain containing, STK11  -  serine/threonine kinase 11, SCIMP  -  slp adaptor and csk interacting membrane protein, PLEKHA1  -  pleckstrin homology domain containing, family a (phosphoinositide binding specific) member 1, MAPK3  -  mitogen-activated protein kinase 3, RBCK1  -  ranbp-type and c3hc4-type zinc finger containing 1, BLNK  -  b-cell linker, TNIP1  -  tnfaip3 interacting protein 1, HLA-DQA1  -  major histocompatibility complex, class ii, dq alpha 1, CLU  -  clusterin, CTSB  -  cathepsin b, PSMA5  -  proteasome (prosome, macropain) subunit, alpha type, 5, HLA-DQB1  -  major histocompatibility complex, class ii, dq beta 1, HLA-DRB1  -  major histocompatibility complex, class ii, dr beta 1, PSMB6  -  proteasome (prosome, macropain) subunit, beta type, 6, HAVCR2  -  hepatitis a virus cellular receptor 2, CR1  -  complement component (3b/4b) receptor 1 (knops blood group), CR2  -  complement component (3d/epstein barr virus) receptor 2, PSMC3  -  proteasome (prosome, macropain) 26s subunit, atpase, 3, PHB  -  prohibitin, PSMC6  -  proteasome (prosome, macropain) 26s subunit, atpase, 6]
GO:0042325	regulation of phosphorylation	6.41E-6	3.08E-3	4.37	17535	1542	39	15	[CLU  -  clusterin, ADAM17  -  adam metallopeptidase domain 17, CASS4  -  cas scaffolding protein family member 4, APOE  -  apolipoprotein e, EPHA1  -  eph receptor a1, LIME1  -  lck interacting transmembrane adaptor 1, TREM2  -  triggering receptor expressed on myeloid cells 2, LILRA5  -  leukocyte immunoglobulin-like receptor, subfamily a (with tm domain), member 5, ACE  -  angiotensin i converting enzyme, SPI1  -  spleen focus forming virus (sffv) proviral integration oncogene, RHOH  -  ras homolog family member h, SCIMP  -  slp adaptor and csk interacting membrane protein, DGKQ  -  diacylglycerol kinase, theta 110kda, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7, NCK2  -  nck adaptor protein 2]
GO:0050730	regulation of peptidyl-tyrosine phosphorylation	6.67E-6	3.1E-3	12.64	17535	249	39	7	[ADAM17  -  adam metallopeptidase domain 17, DGKQ  -  diacylglycerol kinase, theta 110kda, CASS4  -  cas scaffolding protein family member 4, TREM2  -  triggering receptor expressed on myeloid cells 2, LILRA5  -  leukocyte immunoglobulin-like receptor, subfamily a (with tm domain), member 5, ACE  -  angiotensin i converting enzyme, NCK2  -  nck adaptor protein 2]
GO:0048583	regulation of response to stimulus	7.17E-6	3.24E-3	1.40	17535	3976	572	181	[ITK  -  il2-inducible t-cell kinase, ADAM17  -  adam metallopeptidase domain 17, PLCG2  -  phospholipase c, gamma 2 (phosphatidylinositol-specific), ZCCHC3  -  zinc finger, cchc domain containing 3, PLD2  -  phospholipase d2, LILRA5  -  leukocyte immunoglobulin-like receptor, subfamily a (with tm domain), member 5, BOP1  -  block of proliferation 1, MS4A2  -  membrane-spanning 4-domains, subfamily a, member 2, FCER1G  -  fc fragment of ige, high affinity i, receptor for; gamma polypeptide, HTRA1  -  htra serine peptidase 1, ABCA1  -  atp-binding cassette, sub-family a (abc1), member 1, CD33  -  cd33 molecule, TOP3A  -  topoisomerase (dna) iii alpha, PILRB  -  paired immunoglobin-like type 2 receptor beta, EPPK1  -  epiplakin 1, CYFIP2  -  cytoplasmic fmr1 interacting protein 2, GP1BA  -  glycoprotein ib (platelet), alpha polypeptide, PILRA  -  paired immunoglobin-like type 2 receptor alpha, NDUFS3  -  nadh dehydrogenase (ubiquinone) fe-s protein 3, 30kda (nadh-coenzyme q reductase), RNF111  -  ring finger protein 111, SAG  -  s-antigen; retina and pineal gland (arrestin), ECHDC3  -  enoyl coa hydratase domain containing 3, FGF21  -  fibroblast growth factor 21, SPHK2  -  sphingosine kinase 2, C11orf73  -  chromosome 11 open reading frame 73, APOA2  -  apolipoprotein a-ii, TRIB3  -  tribbles homolog 3 (drosophila), WNT3  -  wingless-type mmtv integration site family, member 3, TAOK2  -  tao kinase 2, FUS  -  fused in sarcoma, HLA-DQA1  -  major histocompatibility complex, class ii, dq alpha 1, GPR4  -  g protein-coupled receptor 4, HLA-DQB1  -  major histocompatibility complex, class ii, dq beta 1, PSMA5  -  proteasome (prosome, macropain) subunit, alpha type, 5, DAPK2  -  death-associated protein kinase 2, SIGLEC7  -  sialic acid binding ig-like lectin 7, APOE  -  apolipoprotein e, HLA-DRB1  -  major histocompatibility complex, class ii, dr beta 1, CD2AP  -  cd2-associated protein, APP  -  amyloid beta (a4) precursor protein, LAMTOR4  -  late endosomal/lysosomal adaptor, mapk and mtor activator 4, TMEM259  -  transmembrane protein 259, PSMB6  -  proteasome (prosome, macropain) subunit, beta type, 6, MVP  -  major vault protein, PSMC3  -  proteasome (prosome, macropain) 26s subunit, atpase, 3, OSCAR  -  osteoclast associated, immunoglobulin-like receptor, DGKQ  -  diacylglycerol kinase, theta 110kda, FUZ  -  fuzzy planar cell polarity protein, PTPMT1  -  protein tyrosine phosphatase, mitochondrial 1, PSMC6  -  proteasome (prosome, macropain) 26s subunit, atpase, 6, EGFR  -  epidermal growth factor receptor, NUP62  -  nucleoporin 62kda, KLK14  -  kallikrein-related peptidase 14, RUNDC3A  -  run domain containing 3a, ARHGAP30  -  rho gtpase activating protein 30, TRIM72  -  tripartite motif containing 72, PPP1R15A  -  protein phosphatase 1, regulatory subunit 15a, FHL2  -  four and a half lim domains 2, LILRB2  -  leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 2, MINK1  -  misshapen-like kinase 1, TREM2  -  triggering receptor expressed on myeloid cells 2, TREM1  -  triggering receptor expressed on myeloid cells 1, CHRNA9  -  cholinergic receptor, nicotinic, alpha 9 (neuronal), NGFR  -  nerve growth factor receptor, SORL1  -  sortilin-related receptor, l(dlr class) a repeats containing, INCA1  -  inhibitor of cdk, cyclin a1 interacting protein 1, RHOH  -  ras homolog family member h, SCIMP  -  slp adaptor and csk interacting membrane protein, YPEL3  -  yippee-like 3 (drosophila), ADAM10  -  adam metallopeptidase domain 10, FOXF1  -  forkhead box f1, ELANE  -  elastase, neutrophil expressed, RASAL1  -  ras protein activator like 1 (gap1 like), ARRB2  -  arrestin, beta 2, EPS8L1  -  eps8-like 1, RBCK1  -  ranbp-type and c3hc4-type zinc finger containing 1, NCK2  -  nck adaptor protein 2, FOXL1  -  forkhead box l1, TP53INP1  -  tumor protein p53 inducible nuclear protein 1, PAGR1  -  paxip1 associated glutamate-rich protein 1, FOXC2  -  forkhead box c2 (mfh-1, mesenchyme forkhead 1), GRN  -  granulin, TNIP1  -  tnfaip3 interacting protein 1, MTMR4  -  myotubularin related protein 4, SIGLEC10  -  sialic acid binding ig-like lectin 10, VRK3  -  vaccinia related kinase 3, NCR2  -  natural cytotoxicity triggering receptor 2, GRINA  -  glutamate receptor, ionotropic, n-methyl d-aspartate-associated protein 1 (glutamate binding), SPI1  -  spleen focus forming virus (sffv) proviral integration oncogene, HAVCR2  -  hepatitis a virus cellular receptor 2, CFD  -  complement factor d (adipsin), GAS8  -  growth arrest-specific 8, CR1  -  complement component (3b/4b) receptor 1 (knops blood group), MC1R  -  melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor), CR1L  -  complement component (3b/4b) receptor 1-like, CR2  -  complement component (3d/epstein barr virus) receptor 2, RNF43  -  ring finger protein 43, RIOK3  -  rio kinase 3, GATA4  -  gata binding protein 4, TREML2  -  triggering receptor expressed on myeloid cells-like 2, TNFRSF18  -  tumor necrosis factor receptor superfamily, member 18, SIGLEC9  -  sialic acid binding ig-like lectin 9, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7, SPPL2A  -  signal peptide peptidase like 2a, YWHAQ  -  tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide, NR1H3  -  nuclear receptor subfamily 1, group h, member 3, PNKP  -  polynucleotide kinase 3'-phosphatase, GPR61  -  g protein-coupled receptor 61, CELF1  -  cugbp, elav-like family member 1, CD46  -  cd46 molecule, complement regulatory protein, RPA3  -  replication protein a3, 14kda, FERMT2  -  fermitin family member 2, SFRP4  -  secreted frizzled-related protein 4, STX1B  -  syntaxin 1b, RASIP1  -  ras interacting protein 1, AKT1S1  -  akt1 substrate 1 (proline-rich), LIME1  -  lck interacting transmembrane adaptor 1, RIN3  -  ras and rab interactor 3, F11R  -  f11 receptor, TREML4  -  triggering receptor expressed on myeloid cells-like 4, FAM132A  -  family with sequence similarity 132, member a, PYCARD  -  pyd and card domain containing, GPRC5B  -  g protein-coupled receptor, family c, group 5, member b, SRMS  -  src-related kinase lacking c-terminal regulatory tyrosine and n-terminal myristylation sites, STMN3  -  stathmin-like 3, PYDC1  -  pyd (pyrin domain) containing 1, PLEKHA1  -  pleckstrin homology domain containing, family a (phosphoinositide binding specific) member 1, TNFRSF21  -  tumor necrosis factor receptor superfamily, member 21, KCTD13  -  potassium channel tetramerization domain containing 13, MAP3K3  -  mitogen-activated protein kinase kinase kinase 3, PPP4C  -  protein phosphatase 4, catalytic subunit, BLNK  -  b-cell linker, VKORC1  -  vitamin k epoxide reductase complex, subunit 1, RTEL1  -  regulator of telomere elongation helicase 1, DGKD  -  diacylglycerol kinase, delta 130kda, LAIR1  -  leukocyte-associated immunoglobulin-like receptor 1, CASS4  -  cas scaffolding protein family member 4, DMPK  -  dystrophia myotonica-protein kinase, LAIR2  -  leukocyte-associated immunoglobulin-like receptor 2, TSPAN14  -  tetraspanin 14, SIGLEC16  -  sialic acid binding ig-like lectin 16 (gene/pseudogene), GIPR  -  gastric inhibitory polypeptide receptor, CASP2  -  caspase 2, apoptosis-related cysteine peptidase, PHB  -  prohibitin, CSNK2A1  -  casein kinase 2, alpha 1 polypeptide, NUP88  -  nucleoporin 88kda, HSF1  -  heat shock transcription factor 1, PVRIG  -  poliovirus receptor related immunoglobulin domain containing, NGEF  -  neuronal guanine nucleotide exchange factor, NOC2L  -  nucleolar complex associated 2 homolog (s. cerevisiae), INPP5D  -  inositol polyphosphate-5-phosphatase, 145kda, AURKA  -  aurora kinase a, MADD  -  map-kinase activating death domain, IL34  -  interleukin 34, STK11  -  serine/threonine kinase 11, GPC2  -  glypican 2, STX4  -  syntaxin 4, MAPK3  -  mitogen-activated protein kinase 3, USF1  -  upstream transcription factor 1, STYX  -  serine/threonine/tyrosine interacting protein, SHARPIN  -  shank-associated rh domain interactor, ZYX  -  zyxin, ZGPAT  -  zinc finger, ccch-type with g patch domain, MAPK9  -  mitogen-activated protein kinase 9, CLU  -  clusterin, SMCR8  -  smith-magenis syndrome chromosome region, candidate 8, RASGRF1  -  ras protein-specific guanine nucleotide-releasing factor 1, CTSB  -  cathepsin b, HMHA1  -  histocompatibility (minor) ha-1, ITGB1BP1  -  integrin beta 1 binding protein 1, CTSH  -  cathepsin h, PLEKHA4  -  pleckstrin homology domain containing, family a (phosphoinositide binding specific) member 4, EIF2AK2  -  eukaryotic translation initiation factor 2-alpha kinase 2, LLGL1  -  lethal giant larvae homolog 1 (drosophila), SLC8B1  -  solute carrier family 8 (sodium/lithium/calcium exchanger), member b1, TREML1  -  triggering receptor expressed on myeloid cells-like 1, ITGAM  -  integrin, alpha m (complement component 3 receptor 3 subunit), UNC5CL  -  unc-5 homolog c (c. elegans)-like, LILRA4  -  leukocyte immunoglobulin-like receptor, subfamily a (with tm domain), member 4, ZCWPW1  -  zinc finger, cw type with pwwp domain 1, SBNO2  -  strawberry notch homolog 2 (drosophila)]
GO:0043900	regulation of multi-organism process	7.4E-6	3.25E-3	3.90	17535	409	198	18	[TNIP1  -  tnfaip3 interacting protein 1, SUPT4H1  -  suppressor of ty 4 homolog 1 (s. cerevisiae), APOE  -  apolipoprotein e, HLA-DRB1  -  major histocompatibility complex, class ii, dr beta 1, TBC1D20  -  tbc1 domain family, member 20, SIGLEC16  -  sialic acid binding ig-like lectin 16 (gene/pseudogene), AURKA  -  aurora kinase a, ISG15  -  isg15 ubiquitin-like modifier, POLR2E  -  polymerase (rna) ii (dna directed) polypeptide e, 25kda, HTRA1  -  htra serine peptidase 1, HAVCR2  -  hepatitis a virus cellular receptor 2, HS3ST5  -  heparan sulfate (glucosamine) 3-o-sulfotransferase 5, SCIMP  -  slp adaptor and csk interacting membrane protein, PSMC3  -  proteasome (prosome, macropain) 26s subunit, atpase, 3, PPIB  -  peptidylprolyl isomerase b (cyclophilin b), PARP10  -  poly (adp-ribose) polymerase family, member 10, PHB  -  prohibitin, GRN  -  granulin]
GO:1902994	regulation of phospholipid efflux	7.54E-6	3.22E-3	730.62	17535	4	12	2	[APOE  -  apolipoprotein e, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7]
GO:1902995	positive regulation of phospholipid efflux	7.54E-6	3.13E-3	730.62	17535	4	12	2	[APOE  -  apolipoprotein e, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7]
GO:0006508	proteolysis	7.81E-6	3.16E-3	1.57	17535	1206	1063	115	[LGMN  -  legumain, ADAM17  -  adam metallopeptidase domain 17, KLK7  -  kallikrein-related peptidase 7, APH1B  -  aph1b gamma secretase subunit, ISG15  -  isg15 ubiquitin-like modifier, PCSK4  -  proprotein convertase subtilisin/kexin type 4, PRSS8  -  protease, serine, 8, KLK6  -  kallikrein-related peptidase 6, HTRA1  -  htra serine peptidase 1, GGT6  -  gamma-glutamyltransferase 6, KLK10  -  kallikrein-related peptidase 10, PRTN3  -  proteinase 3, CYFIP2  -  cytoplasmic fmr1 interacting protein 2, RNF130  -  ring finger protein 130, RNF111  -  ring finger protein 111, USP21  -  ubiquitin specific peptidase 21, RCN3  -  reticulocalbin 3, ef-hand calcium binding domain, USP17L2  -  ubiquitin specific peptidase 17-like family member 2, TPP2  -  tripeptidyl peptidase ii, PSMA4  -  proteasome (prosome, macropain) subunit, alpha type, 4, PSMA5  -  proteasome (prosome, macropain) subunit, alpha type, 5, ADAMTS7  -  adam metallopeptidase with thrombospondin type 1 motif, 7, CD2AP  -  cd2-associated protein, USP3  -  ubiquitin specific peptidase 3, KLK3  -  kallikrein-related peptidase 3, PSMB6  -  proteasome (prosome, macropain) subunit, beta type, 6, PSMC3  -  proteasome (prosome, macropain) 26s subunit, atpase, 3, PSMC5  -  proteasome (prosome, macropain) 26s subunit, atpase, 5, VPS28  -  vacuolar protein sorting 28 homolog (s. cerevisiae), PSMC6  -  proteasome (prosome, macropain) 26s subunit, atpase, 6, CDC27  -  cell division cycle 27, KLK15  -  kallikrein-related peptidase 15, KLK14  -  kallikrein-related peptidase 14, KLK12  -  kallikrein-related peptidase 12, SPOP  -  speckle-type poz protein, KLK8  -  kallikrein-related peptidase 8, TRIM72  -  tripartite motif containing 72, ACE  -  angiotensin i converting enzyme, MAEA  -  macrophage erythroblast attacher, KEL  -  kell blood group, metallo-endopeptidase, NGFR  -  nerve growth factor receptor, GPAA1  -  glycosylphosphatidylinositol anchor attachment 1, DDB2  -  damage-specific dna binding protein 2, 48kda, ADAM10  -  adam metallopeptidase domain 10, ELANE  -  elastase, neutrophil expressed, RNF167  -  ring finger protein 167, ARRB2  -  arrestin, beta 2, RBCK1  -  ranbp-type and c3hc4-type zinc finger containing 1, PRSS53  -  protease, serine, 53, USP6  -  ubiquitin specific peptidase 6 (tre-2 oncogene), AGBL2  -  atp/gtp binding protein-like 2, CUZD1  -  cub and zona pellucida-like domains 1, TNIP1  -  tnfaip3 interacting protein 1, KLK9  -  kallikrein-related peptidase 9, USP8  -  ubiquitin specific peptidase 8, KLK1  -  kallikrein 1, KLK2  -  kallikrein-related peptidase 2, USP17L7  -  ubiquitin specific peptidase 17-like family member 7, ATXN7L3  -  ataxin 7-like 3, CCP110  -  centriolar coiled coil protein 110kda, UBE2Z  -  ubiquitin-conjugating enzyme e2z, CFD  -  complement factor d (adipsin), RNF43  -  ring finger protein 43, SPPL2A  -  signal peptide peptidase like 2a, CCDC47  -  coiled-coil domain containing 47, COPS6  -  cop9 signalosome subunit 6, CGB  -  chorionic gonadotropin, beta polypeptide, ADAM11  -  adam metallopeptidase domain 11, RNF126  -  ring finger protein 126, NAPSA  -  napsin a aspartic peptidase, USP40  -  ubiquitin specific peptidase 40, PYCARD  -  pyd and card domain containing, PYDC1  -  pyd (pyrin domain) containing 1, ENC1  -  ectodermal-neural cortex 1 (with btb domain), C2orf40  -  chromosome 2 open reading frame 40, KLK13  -  kallikrein-related peptidase 13, KCTD13  -  potassium channel tetramerization domain containing 13, PRSS57  -  protease, serine, 57, KLK11  -  kallikrein-related peptidase 11, USP50  -  ubiquitin specific peptidase 50, ADAMTS4  -  adam metallopeptidase with thrombospondin type 1 motif, 4, TGFB1I1  -  transforming growth factor beta 1 induced transcript 1, RNF40  -  ring finger protein 40, e3 ubiquitin protein ligase, ADAMTS1  -  adam metallopeptidase with thrombospondin type 1 motif, 1, GID4  -  gid complex subunit 4, CASP2  -  caspase 2, apoptosis-related cysteine peptidase, CASP7  -  caspase 7, apoptosis-related cysteine peptidase, DERL2  -  derlin 2, TFPT  -  tcf3 (e2a) fusion partner (in childhood leukemia), SQSTM1  -  sequestosome 1, AURKA  -  aurora kinase a, AZU1  -  azurocidin 1, ATXN3  -  ataxin 3, HABP2  -  hyaluronan binding protein 2, TLL2  -  tolloid-like 2, FBXL19  -  f-box and leucine-rich repeat protein 19, LHB  -  luteinizing hormone beta polypeptide, PRSS36  -  protease, serine, 36, KLK5  -  kallikrein-related peptidase 5, NLRP1  -  nlr family, pyrin domain containing 1, SHARPIN  -  shank-associated rh domain interactor, FBXL22  -  f-box and leucine-rich repeat protein 22, TMUB2  -  transmembrane and ubiquitin-like domain containing 2, LACTB  -  lactamase, beta, CTSB  -  cathepsin b, MME  -  membrane metallo-endopeptidase, ADAMTS5  -  adam metallopeptidase with thrombospondin type 1 motif, 5, CTSH  -  cathepsin h, PIP  -  prolactin-induced protein, FBXL6  -  f-box and leucine-rich repeat protein 6, INO80E  -  ino80 complex subunit e, UBE2J2  -  ubiquitin-conjugating enzyme e2, j2, PROC  -  protein c (inactivator of coagulation factors va and viiia), UNC5CL  -  unc-5 homolog c (c. elegans)-like, KLK4  -  kallikrein-related peptidase 4]
GO:0097242	amyloid-beta clearance	8.23E-6	3.24E-3	142.95	17535	23	16	3	[TREM2  -  triggering receptor expressed on myeloid cells 2, PICALM  -  phosphatidylinositol binding clathrin assembly protein, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7]
